state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,negative,recovered,death,hospitalized,total,totalTestResults,posNeg
AK,213,1,1,1,1,A,4,6700,29,6,23,6913,6913,6913
AL,2119,1,1,0,1,B,3,12797,,56,271,14916,14916,14916
AR,946,1,1,1,1,A,4,12692,142,16,130,13638,13638,13638
AZ,2575,1,1,0,1,B,3,30800,,73,,33375,33375,33375
CA,15865,1,1,0,1,B,3,115364,,374,,145329,131229,131229
CO,5172,1,1,1,1,A,4,21703,,150,994,26875,26875,26875
CT,7781,1,1,1,1,A,4,21255,,277,,29036,29036,29036
DC,1211,1,1,1,1,A,4,6612,318,22,,7823,7823,7823
DE,928,1,1,1,1,A,4,7628,144,16,,8556,8556,8556
FL,14747,1,1,1,1,A,4,123415,,296,1999,139569,138162,138162
GA,8818,1,1,1,1,A,4,24895,,329,1774,33713,33713,33713
HI,387,1,1,1,1,A,4,13155,89,5,26,13542,13542,13542
IA,1048,1,1,1,1,A,4,11670,341,26,193,12718,12718,12718
ID,1170,1,1,1,1,A,4,10076,,13,83,11246,11246,11246
IL,13549,1,1,1,1,A,4,55183,,380,,68732,68732,68732
IN,5507,1,1,1,0,B,3,23257,,173,,28764,28764,28764
KS,900,1,1,1,0,B,3,8614,,27,223,9514,9514,9514
KY,1008,1,1,1,1,A,4,18947,,59,,19955,19955,19955
LA,16284,1,1,1,1,A,4,58371,,582,,74655,74655,74655
MA,15202,1,1,0,1,B,3,66142,,356,1435,81344,81344,81344
MD,4371,1,1,1,1,A,4,27256,288,103,1106,31627,31627,31627
ME,519,1,1,1,1,A,4,6088,176,12,99,6607,6607,6607
MI,18970,1,1,0,1,B,3,31362,,845,,50332,50332,50332
MN,1069,1,1,1,1,A,4,28191,549,34,242,29260,29260,29260
MO,3037,1,1,1,1,A,4,28932,,53,,31969,31969,31969
MS,1915,1,1,1,1,A,4,18632,,59,377,20547,20547,20547
MT,319,1,1,1,1,A,4,6666,,6,28,6985,6985,6985
NC,3221,1,1,1,1,A,4,37861,,46,,41082,41082,41082
ND,237,1,1,1,0,B,3,7466,82,4,33,7703,7703,7703
NE,447,1,1,1,1,A,4,6811,,10,,7258,7258,7258
NH,715,1,1,1,0,B,3,8019,151,9,103,8783,8734,8734
NJ,44416,1,1,1,1,A,4,50558,,1232,,94974,94974,94974
NM,686,1,1,1,1,A,4,21139,133,12,,21825,21825,21825
NV,2087,1,1,1,1,A,4,16552,,58,,18639,18639,18639
NY,138863,1,1,1,1,A,4,201195,14590,5489,32083,340058,340058,340058
OH,4782,1,1,0,1,B,3,46056,,167,1354,50838,50838,50838
OK,1472,1,1,0,1,B,3,11821,,67,376,13293,13293,13293
OR,1132,1,1,1,1,A,4,20669,,29,404,21801,21801,21801
PA,14559,1,1,1,1,A,4,76719,,240,,91278,91278,91278
RI,1229,1,1,1,0,B,3,7399,35,30,,8628,8628,8628
SC,2417,1,1,1,0,B,3,21263,,51,241,23680,23680,23680
SD,320,1,1,1,1,A,4,5948,98,6,23,6270,6268,6268
TN,4138,1,1,1,1,A,4,48736,466,72,408,52874,52874,52874
TX,8262,1,1,1,1,A,4,80387,38,154,,88649,88649,88649
UT,1738,1,1,1,1,A,4,32909,,13,148,34647,34647,34647
VA,3333,1,1,1,1,A,4,25312,,63,563,28645,28645,28645
VT,575,1,1,1,1,A,4,6554,15,23,45,7129,7129,7129
WA,8384,1,1,1,1,A,4,83391,,372,,91775,91775,91775
WI,2578,1,1,1,1,A,4,28512,,92,745,31090,31090,31090
WV,412,1,1,1,0,B,3,11647,,4,,12059,12059,12059
WY,216,1,1,1,1,A,4,3789,62,0,33,4005,4005,4005
PR,573,1,1,1,1,A,4,3966,,23,,5507,4539,4539
AS,0,,,,,,,20,,0,,31,20,20
GU,121,,,,,,,529,27,4,,650,650,650
MP,8,,,,,,,15,,2,,23,23,23
VI,43,,,,,,,222,36,1,,285,265,265